organization,review_score,n_reviews,course_name,link,topics,Course Type,Commitment,Start Date,Cost,Class size,Location,Duration,hours_per_week
The Tech Academy,4.84,234,Online Data Science Boot Camp (part-time),https://learncodinganywhere.com/contact,"Data Science, HTML, Git, R, JavaScript, Data Visualization, jQuery, CSS, DevOps, React.js, Data Analytics, Data Structures, Algorithms, Front End, Business Intelligence, Scrum, Artificial Intelligence, Agile, SQL, Python, Machine Learning",Online,Part Time,Rolling Start Date,"$15,980",,Online,30 Weeks,
The Tech Academy,4.84,234,Online Python Boot Camp (full-time),https://learncodinganywhere.com/contact,"HTML, Git, JavaScript, Django, jQuery, CSS, DevOps, React.js, Data Structures, Algorithms, Front End, Scrum, Agile, SQL, Python",Online,Full Time,Rolling Start Date,"$9,980",,Online,15 Weeks,
The Tech Academy,4.84,234,Online Python Boot Camp (part-time),https://learncodinganywhere.com/contact,"HTML, JavaScript, Django, jQuery, CSS, DevOps, React.js, Data Structures, Algorithms, Front End, Scrum, Agile, SQL, Python",Online,Part Time,Rolling Start Date,"$14,980",,Online,28 Weeks,
The Tech Academy,4.84,234,Online Software Developer Boot Camp (full-time),https://learncodinganywhere.com/contact,"HTML, Git, C#, JavaScript, .NET, ASP.NET, Django, jQuery, CSS, DevOps, React.js, Data Structures, Algorithms, Front End, Scrum, Agile, SQL, Python",Online,Full Time,Rolling Start Date,"$13,980",,Online,22 Weeks,
The Tech Academy,4.84,234,Online Software Developer Boot Camp (part-time),https://learncodinganywhere.com/contact,"HTML, Git, C#, JavaScript, .NET, Django, jQuery, CSS, DevOps, React.js, Data Structures, Algorithms, Front End, Scrum, Agile, SQL, Python",Online,Part Time,Rolling Start Date,"$19,980",,Online,40 Weeks,
The Tech Academy,4.84,234,Online Web Developer Boot Camp (full-time),https://learncodinganywhere.com/contact,"Git, JavaScript, jQuery, CSS, DevOps, React.js, Data Structures, Algorithms, Front End, Scrum, Agile",Online,Full Time,Rolling Start Date,"$5,980",,Online,8 Weeks,
The Tech Academy,4.84,234,Online Web Developer Boot Camp (part-time),https://learncodinganywhere.com/contact,"HTML, Git, JavaScript, jQuery, CSS, React.js, Data Structures, Algorithms, Front End, Scrum, Agile",Online,Part Time,Rolling Start Date,"$8,980",,Online,14 Weeks,
Galvanize,4.47,177,Data Science Immersive,http://www.galvanize.com/apply/data-science/?utm_source=coursereport&utm_medium=referral&utm_term=profile&utm_campaign=affiliate,"Data Science, SQL, Python",In Person,Full Time,Rolling Start Date,"$17,980",,"Phoenix, Austin, San Francisco, Seattle, Boulder, New York City, Denver",13 Weeks,40.0
Galvanize,4.47,177,Python Fundamentals,https://www.galvanize.com/part-time/data-science-fundamentals?utm_source=CourseReport,"Data Science, Python",In Person,Part Time,Rolling Start Date,"$1,500",,"Denver, Phoenix, Austin, Seattle, Boulder",6 Weeks,5.0
AcadGild,4.3,172,Big Data Hadoop Training,https://acadgild.com/big-data/big-data-development-training-certification,"Data Science, Hadoop",In Person,Part Time,Rolling Start Date,$749,10.0,Online,,3.0
AcadGild,4.3,172,Data Analytics Certification Training,https://acadgild.com/big-data/data-analytics-training-certification,"Data Science, R, Excel",In Person,Part Time,Rolling Start Date,$999,12.0,Online,,10.0
AcadGild,4.3,172,"Data Science Certification Course with Python, Machine Learning, Deep Learning & TensorFlow",https://acadgild.com/big-data/data-science-training-certification,"Data Science, R, Python, Machine Learning",In Person,Part Time,None scheduled,"$1,299",30.0,Online,23 Weeks,5.0
RMOTR,4.93,137,Data Science with Python,https://rmotr.com/data-science-python-course,"MySQL, Data Science, MongoDB, Git, R, Hadoop, Spark, Linux, Virtualization, Data Structures, Algorithms, SQL, Python, Machine Learning",Online,Part Time,Rolling Start Date,$349,30.0,Online,,6.0
RMOTR,4.93,137,Web Development with Django,https://rmotr.com/web-development-django-python-course,"MySQL, MongoDB, Git, Django, CSS, Linux, Data Structures, Algorithms, SQL, Python",Online,Part Time,None scheduled,$349,40.0,Online,5 Weeks,6.0
Coding Temple,4.92,124,Full Stack Immersive Web Development,http://codingtemple.com/apply-now/,"MySQL, AngularJS, Data Science, HTML, Git, C#, JavaScript, .NET, ASP.NET, jQuery, Design, User Experience Design, CSS, React.js, Virtualization, Data Analytics, Data Structures, Algorithms, Front End, Scrum, SQL, Python",In Person,Full Time,Rolling Start Date,"$11,495",8.0,"Dallas, Washington, Chicago, Boston, Online",10 Weeks,40.0
Coding Temple,4.92,124,Full-Stack Python + Data Science,http://codingtemple.com/apply-now/,"MySQL, AngularJS, Data Science, HTML, Git, R, JavaScript, Data Visualization, Django, jQuery, Design, Hadoop, Product Management, User Experience Design, CSS, Spark, React.js, Linux, Virtualization, Data Analytics, Data Structures, Algorithms, Front End, Scrum, SQL, Python, Machine Learning",In Person,Full Time,Rolling Start Date,"$12,995",8.0,"Dallas, Washington, Chicago, Boston, Online",10 Weeks,40.0
Coding Temple,4.92,124,Online Full-Stack Python + Data Science,http://codingtemple.com/apply-now/,"MySQL, Data Science, R, Data Visualization, Spark, React.js, Data Analytics, Data Structures, Scrum, SQL, Python, Machine Learning",In Person,Part Time,None scheduled,"$7,500",6.0,Online,10 Weeks,20.0
Coding Temple,4.92,124,Online Python + Data Analytics Immersive Bootcamp- Part-Time,http://codingtemple.com/apply-now/,"MySQL, AngularJS, Data Science, MongoDB, Git, R, Data Visualization, Django, jQuery, Excel, Hadoop, Spark, React.js, Virtualization, Data Analytics, Data Structures, Algorithms, Business Intelligence, Scrum, Agile, SQL, Python, Machine Learning",Online,Part Time,Rolling Start Date,"$7,500",5.0,Online,10 Weeks,40.0
Metis,4.89,107,Beginner Python and Math for Data Science,https://www.thisismetis.com/courses/beginner-python-and-math-for-data-science/,"Data Science, Python",Online,Part Time,None scheduled,$750,20.0,Online,6 Weeks,6.0
Metis,4.89,107,Corporate Training,https://www.thisismetis.com/corporate-training,"Data Science, Data Visualization, Data Analytics, Business Intelligence, Artificial Intelligence, SQL, Python, Machine Learning",In Person,Part Time,None scheduled,,,"Seattle, New York City, San Francisco, Chicago, Online",,
Metis,4.89,107,Data Science Bootcamp,https://apply.thisismetis.com/,"Data Science, Git, Data Visualization, Hadoop, Data Analytics, Algorithms, Artificial Intelligence, SQL, Python, Machine Learning",In Person,Full Time,None scheduled,"$17,000",22.0,"New York City, San Francisco, Chicago",12 Weeks,40.0
Metis,4.89,107,Introduction to Data Science,http://www.thisismetis.com/introduction-to-data-science,"Data Science, Git, Python, Machine Learning",Online,Part Time,None scheduled,$750,20.0,Online,6 Weeks,6.0
Metis,4.89,107,Online Data Science Bootcamp,https://apply.thisismetis.com/,"Data Science, Git, Data Visualization, Hadoop, Data Analytics, Algorithms, Artificial Intelligence, SQL, Python, Machine Learning",Online,Full Time,None scheduled,"$17,000",15.0,Online,12 Weeks,40.0
Rutgers Bootcamps,4.53,104,Data Science and Visualization - Part-Time,https://bootcamp.rutgers.edu/data/?utm_source=coursereport&utm_medium=ApplyNow,"MySQL, Data Science, MongoDB, HTML, JavaScript, Data Visualization, Excel, Hadoop, CSS, Data Analytics, SQL, Python, Machine Learning",In Person,Part Time,Rolling Start Date,"$10,995",25.0,"Somerset, Jersey City",24 Weeks,10.0
Tech Talent South,4.73,101,Big Data Analytics,https://www.techtalentsouth.com/apply,"Data Science, Data Visualization, Data Analytics, Data Structures, SQL",In Person,Part Time,Rolling Start Date,"$2,200",,"Atlanta, Phoenix, Wilmington, Columbus, Dallas, San Antonio, New Orleans, Charlotte, Asheville, Raleigh",4 Weeks,6.0
Tech Talent South,4.73,101,Full-Time Code Immersion - Java,https://www.techtalentsouth.com/apply,"MySQL, AngularJS, HTML, Git, JavaScript, Data Visualization, jQuery, Design, Product Management, CSS, SEO, Data Structures, Java, Front End, SQL",In Person,Full Time,Rolling Start Date,"$6,750",,"Hartford, Atlanta, Phoenix, Wilmington, Columbus, Dallas, San Antonio, New Orleans, Charlotte, Asheville, Raleigh",8 Weeks,12.0
Tech Talent South,4.73,101,Machine Learning,https://www.techtalentsouth.com/apply-charlotte,,In Person,Full Time,Rolling Start Date,,,"Atlanta, Phoenix, Wilmington, Columbus, Dallas, San Antonio, New Orleans, Charlotte, Asheville, Raleigh",,
Tech Talent South,4.73,101,Part-time Code Immersion - Java,https://www.techtalentsouth.com/apply,"MySQL, HTML, Git, JavaScript, Data Visualization, jQuery, Design, CSS, Data Structures, Java, Front End, SQL",In Person,Part Time,Rolling Start Date,"$4,250",,"Hartford, Atlanta, Phoenix, Wilmington, Columbus, Dallas, San Antonio, New Orleans, Charlotte, Asheville, Raleigh",8 Weeks,6.0
Georgia Tech Boot Camps,4.76,99,Cybersecurity - Part-Time,https://bootcamp.pe.gatech.edu/cybersecurity/?utm_source=coursereport&utm_medium=ApplyNow,"Linux, Penetration Testing, Mobile Security, Ethical Hacking, Cryptography, Network Security, Python",In Person,Part Time,Rolling Start Date,"$10,000",25.0,Atlanta,24 Weeks,10.0
Georgia Tech Boot Camps,4.76,99,Data Science and Visualization - Part-Time,https://bootcamp.pe.gatech.edu/data/?utm_source=coursereport&utm_medium=ApplyNow,"MySQL, Data Science, MongoDB, HTML, Git, JavaScript, Data Visualization, Excel, Hadoop, CSS, Data Analytics, SQL, Python, Machine Learning",In Person,Part Time,Rolling Start Date,"$10,000",25.0,Atlanta,24 Weeks,10.0
HyperionDev,4.68,99,Data Science Bootcamp,https://www.hyperiondev.com/bootcamps/data_science_bootcamp/,"Data Science, Data Visualization, Data Analytics, Data Structures, Algorithms, Artificial Intelligence, Machine Learning",Online,Part Time,Rolling Start Date,"$3,945",,Online,24 Weeks,
HyperionDev,4.68,99,Full Stack Web Developer Bootcamp,https://www.hyperiondev.com/bootcamps/web_development/?utm_medium=referral&utm_source=course%20report&utm_campaign=[affiliate]%20web%20dev%20bootcamp%20course%20report,"MySQL, MongoDB, HTML, JavaScript, Django, jQuery, CSS, React.js, Node.js, Front End, Python",Online,Part Time,Rolling Start Date,"$3,945",,Online,26 Weeks,10.0
HyperionDev,4.68,99,Software Engineer Bootcamp,https://www.hyperiondev.com/bootcamps/software_engineering/?utm_medium=referral&utm_source=course%20report&utm_campaign=[affiliate]%20software%20eng%20bootcamp%20course%20report,"Data Science, Git, C#, Django, Data Structures, Java, Python",Online,Part Time,Rolling Start Date,"$3,945",,Online,26 Weeks,10.0
Lighthouse Labs,4.45,92,Data Science Bootcamp,https://www.lighthouselabs.ca/apply?utm_source=CourseReport&utm_medium=SchoolPage&utm_campaign=DS-Application,"Data Science, Data Visualization, Spark, Data Structures, SQL, Python, Machine Learning",In Person,Full Time,Rolling Start Date,"$12,500",10.0,"Vancouver, Toronto, Montreal, Calgary",12 Weeks,60.0
Lighthouse Labs,4.45,92,Data Science Bootcamp (Online),https://www.lighthouselabs.ca/apply?utm_source=CourseReport&utm_medium=SchoolPage&utm_campaign=DS-Application-Online,"Data Science, Data Visualization, Spark, Data Structures, SQL, Python, Machine Learning",Online,Full Time,"June 22, 2020","$12,500",10.0,Online,12 Weeks,60.0
Lighthouse Labs,4.45,92,Intro to Data Analytics,https://www.lighthouselabs.ca/apply?utm_source=CourseReport&utm_medium=SchoolPage&utm_campaign=Intro-Data-Application,"Excel, Data Analytics",In Person,Full Time,Rolling Start Date,"$2,250",10.0,"Vancouver, Toronto, Montreal, Calgary, Victoria, Ottawa",6 Weeks,6.0
Lighthouse Labs,4.45,92,Intro to Data Analytics (Online),https://www.lighthouselabs.ca/apply?utm_source=CourseReport&utm_medium=SchoolPage&utm_campaign=Intro-Data-Application-Online,"Excel, Data Analytics",Online,Part Time,None scheduled,"$2,250",10.0,Online,6 Weeks,6.0
Lambda School,4.78,79,Data Science,https://lambdaschool.com/courses/data-science,"MySQL, Data Science, Git, Data Visualization, Data Analytics, Data Structures, Algorithms, Business Intelligence, Artificial Intelligence, Agile, SQL, Python, Machine Learning, Cloud Computing",In Person,Full Time,None scheduled,$0,,Online,36 Weeks,40.0
Lambda School,4.78,79,Full Stack Web Development,https://lambdaschool.com/computer-science?utm_medium=partner&utm_source=course+report&utm_campaign=course+report+sponsorship&utm_content=school+page,"MongoDB, HTML, Git, JavaScript, CSS, React.js, Data Structures, Algorithms, Node.js, SQL, Python",Online,Full Time,None scheduled,$0,,Online,36 Weeks,40.0
Byte Academy,3.93,68,Blockchain (Part-Time),https://byteacademy.fluidreview.com/,"JavaScript, Mobile Security, Data Structures, Algorithms, Cryptography, Crypocurrency, Python, Blockchain",In Person,Part Time,None scheduled,"$14,950",,Bangalore,24 Weeks,
Byte Academy,3.93,68,Data Science (Full-Time),https://application.byteacademy.co/,"Data Science, Data Visualization, Data Analytics, Data Structures, Algorithms, Business Intelligence, Artificial Intelligence, Python, Machine Learning",In Person,Full Time,None scheduled,"$14,950",6.0,New York City,14 Weeks,40.0
Byte Academy,3.93,68,FinTech (Part-Time),https://byteacademy.fluidreview.com/,"MySQL, HTML, Git, JavaScript, Django, CSS, Front End, SQL, Python",In Person,Part Time,None scheduled,"$14,950",,Bangalore,24 Weeks,6.0
Byte Academy,3.93,68,Full Stack Python Bootcamp (Full-Time),https://application.byteacademy.co/,"MySQL, Data Science, HTML, Git, JavaScript, Data Visualization, Django, Excel, CSS, React.js, Linux, Data Analytics, Data Structures, Algorithms, Node.js, Scrum, Artificial Intelligence, Agile, SQL, Python, Machine Learning",In Person,Full Time,Rolling Start Date,"$12,950",10.0,"Online, Bangalore, New York City",14 Weeks,40.0
Byte Academy,3.93,68,Full Stack Python Bootcamp (Part-Time),https://byteacademy.fluidreview.com/,"MySQL, AngularJS, Data Science, MongoDB, HTML, Git, JavaScript, Django, jQuery, Excel, Mobile, User Experience Design, Express.js, React.js, Linux, Data Structures, Algorithms, Android, Node.js, Front End, Scrum, SQL, Python, Machine Learning",In Person,Part Time,Rolling Start Date,"$14,950",,New York City,24 Weeks,40.0
Byte Academy,3.93,68,Python Foundation,https://byteacademy.co/courses/python-foundation/,"Linux, Data Analytics, Data Structures, Algorithms, Python",In Person,Part Time,Rolling Start Date,$100,,New York City,4 Weeks,6.0
Northwestern Boot Camps,4.1,64,Cybersecurity - Part-Time,https://bootcamp.northwestern.edu/cybersecurity/?utm_source=coursereport&utm_medium=ApplyNowhttps://bootcamp.northwestern.edu/cybersecurity/,"Linux, Penetration Testing, Mobile Security, Ethical Hacking, Cryptography, Network Security, Python",In Person,Part Time,Rolling Start Date,"$11,995",25.0,Chicago,24 Weeks,10.0
Northwestern Boot Camps,4.1,64,Data Science and Visualization - Part-Time,https://bootcamp.northwestern.edu/data/?utm_source=coursereport&utm_medium=ApplyNow,"MySQL, Data Science, MongoDB, HTML, JavaScript, Data Visualization, Excel, Hadoop, CSS, Data Analytics, SQL, Python, Machine Learning",In Person,Part Time,Rolling Start Date,"$11,995",25.0,Chicago,24 Weeks,10.0
Northwestern Boot Camps,4.1,64,Financial Technology - Part-Time,https://bootcamp.northwestern.edu/fintech/?utm_source=coursereport&utm_medium=ApplyNow,"Excel, Algorithms, Python, Machine Learning, Blockchain",In Person,Part Time,Rolling Start Date,"$11,495",25.0,Chicago,24 Weeks,20.0
TrueCoders,4.92,63,Software Engineering Remote Full-Time Day,https://truecoderstestsite.wpcomstaging.com/contact/,"MySQL, Data Science, HTML, Git, C#, JavaScript, .NET, ASP.NET, CSS, Data Structures, Front End, SQL",Online,Full Time,"June 15, 2020","$3,558",40.0,Birmingham,9 Weeks,30.0
TrueCoders,4.92,63,Software Engineering Remote Part-Time Night,https://www.truecoders.io/nighttrack.php,"MySQL, Data Science, HTML, Git, C#, JavaScript, .NET, ASP.NET, CSS, Data Structures, Front End, SQL",Online,Part Time,"August 3, 2020","$3,558",40.0,Birmingham,26 Weeks,6.0
Practicum by Yandex,4.72,61,Data Analyst,https://practicum.yandex.com/data-analyst,"Data Visualization, Data Analytics, Data Structures, SQL, Python",Online,Part Time,None scheduled,$600,,Online,22 Weeks,20.0
Practicum by Yandex,4.72,61,Data Scientist,https://practicum.yandex.com/data-scientist,"Data Science, Data Visualization, Data Structures, Python, Machine Learning",Online,Part Time,None scheduled,$800,,Online,30 Weeks,20.0
Data Science Dojo,4.9,60,5-Day Data Science and Data Engineering Bootcamp | Amsterdam,https://datasciencedojo.com/locations/Amsterdam/,"Data Science, R, Data Visualization, Hadoop, Data Analytics, Data Structures, Algorithms, Business Intelligence, Artificial Intelligence, Python, Machine Learning",In Person,Full Time,"June 29, 2020","$3,999",50.0,Amsterdam,1 Week,50.0
Data Science Dojo,4.9,60,5-Day Data Science and Data Engineering Bootcamp | Austin,https://datasciencedojo.com/locations/austin/,"Data Science, R, Data Visualization, Excel, Hadoop, Data Analytics, Data Structures, Algorithms, Business Intelligence, Artificial Intelligence, Python, Machine Learning",In Person,Full Time,None scheduled,"$3,999",50.0,Austin,1 Week,50.0
Data Science Dojo,4.9,60,5-Day Data Science and Data Engineering Bootcamp | Barcelona,https://datasciencedojo.com/data-science-bootcamp/,"Data Science, R, Data Visualization, Excel, Hadoop, Data Analytics, Algorithms, SQL, Python, Machine Learning",In Person,Full Time,None scheduled,"$3,999",50.0,Barcelona,1 Week,50.0
Data Science Dojo,4.9,60,5-Day Data Science and Data Engineering Bootcamp | DC,https://datasciencedojo.com/locations/dc/,"Data Science, R, Data Visualization, Hadoop, Data Analytics, Algorithms, Business Intelligence, Artificial Intelligence, Python, Machine Learning",In Person,Full Time,"August 17, 2020","$3,999",50.0,Washington,1 Week,50.0
Data Science Dojo,4.9,60,5-Day Data Science and Data Engineering Bootcamp | NYC,https://datasciencedojo.com/locations/new-york/,"Data Science, R, Data Visualization, Hadoop, Data Analytics, Data Structures, Business Intelligence, Artificial Intelligence, Python",In Person,Full Time,None scheduled,"$3,999",50.0,New York City,1 Week,50.0
Data Science Dojo,4.9,60,5-Day Data Science and Data Engineering Bootcamp | Seattle,https://datasciencedojo.com/bootcamps/seattle/,"Data Science, R, Data Visualization, Excel, Hadoop, Data Analytics, Data Structures, Algorithms, Business Intelligence, Artificial Intelligence, Python, Machine Learning",In Person,Full Time,None scheduled,"$3,999",50.0,Seattle,1 Week,50.0
Data Science Dojo,4.9,60,5-Day Data Science and Data Engineering Bootcamp | Singapore,https://datasciencedojo.com/locations/singapore/,"Data Science, R, Data Visualization, Excel, Hadoop, Data Analytics, Data Structures, Algorithms, Business Intelligence, Artificial Intelligence, Python, Machine Learning",In Person,Full Time,"July 20, 2020","$3,999",40.0,Singapore,1 Week,50.0
Data Science Dojo,4.9,60,A Hands-on Introduction to Data Science (Data Science Certificate),https://datasciencedojo.com/locations/introduction-to-data-science/,"Data Science, R, Data Visualization, Excel, Data Analytics, Algorithms, Business Intelligence, Artificial Intelligence, Python, Machine Learning",In Person,Full Time,None scheduled,"$2,899",50.0,Albuquerque,0 Weeks,30.0
Data Science Dojo,4.9,60,A Hands-on Introduction to the Internet of Things (IoT),https://datasciencedojo.com/locations/iot-bootcamp/,"Data Science, R, Data Analytics, Algorithms, Artificial Intelligence, SQL, Python, Machine Learning",In Person,Full Time,None scheduled,"$2,499",50.0,Albuquerque,0 Weeks,20.0
Data Science Dojo,4.9,60,Online Data Science & Data Engineering Bootcamp,https://datasciencedojo.com/bootcamps/online/,"Data Science, R, Data Visualization, Hadoop, Data Analytics, Data Structures, Algorithms, Python, Machine Learning",Online,Part Time,None scheduled,"$4,000",50.0,"Barcelona, Toronto, Washington, New York City, Chicago, Seattle, Austin, Singapore, Amsterdam, Paris, Sydney, Dubai, Las Vegas, Albuquerque, London, Bucharest, Pretoria, Bangkok",14 Weeks,6.0
Data Science Dojo,4.9,60,Online Data Science for Managers and Business Leaders,https://datasciencedojo.com/data-science-for-managers-and-business-leaders/,"Data Science, R, Data Visualization, Virtualization, Data Structures, Algorithms, Python, Machine Learning",Online,Part Time,None scheduled,"$2,499",50.0,"Barcelona, Toronto, Washington, New York City, Chicago, Seattle, Austin, Singapore, Amsterdam, Paris, Sydney, Dubai, Las Vegas, Albuquerque, London, Bucharest, Pretoria, Bangkok",10 Weeks,6.0
Elevation Academy,4.27,60,Coding Bootcamp,http://bit.ly/CodingBootcampMexico,"MongoDB, HTML, Git, JavaScript, jQuery, CSS, Express.js, React.js, Data Structures, Node.js, Front End, SQL",In Person,Full Time,None scheduled,"$12,000",,"Mexico City, Tel Aviv",11 Weeks,40.0
Elevation Academy,4.27,60,Data Analysis,http://bit.ly/TLVDataAnalyst,"MySQL, MongoDB, R, Excel, Data Analytics, SQL, Python",In Person,Part Time,None scheduled,"₪7,000",,Tel Aviv,11 Weeks,
SPICED Academy,4.64,58,Data Science,https://www.spiced-academy.com/de/program/data-science/cologne,"MySQL, Data Science, Data Visualization, Data Analytics, Data Structures, SQL, Python, Machine Learning",In Person,Full Time,"September 14, 2020","€9,800",10.0,Cologne,12 Weeks,40.0
SPICED Academy,4.64,58,Data Science,https://www.spiced-academy.com/apply-ds,"MySQL, Data Science, MongoDB, Git, Data Visualization, Data Analytics, Data Structures, Algorithms, SQL, Python, Machine Learning",In Person,Full Time,"July 13, 2020","€9,800",10.0,Berlin,12 Weeks,40.0
SPICED Academy,4.64,58,Data Science,https://www.spiced-academy.com/de/program/data-science/hamburg,"MySQL, Data Science, Data Visualization, Data Analytics, Data Structures, SQL, Python, Machine Learning",In Person,Full Time,"June 29, 2020","€9,800",10.0,Hamburg,12 Weeks,40.0
Tecnológico de Monterrey Boot Camps,4.83,55,Data Science and Visualization - Part-Time,https://bootcamp.tec.mx/data/?utm_source=coursereport&utm_medium=ApplyNow,"MySQL, Data Science, MongoDB, HTML, JavaScript, Data Visualization, Excel, Hadoop, CSS, Data Analytics, SQL, Python, Machine Learning",In Person,Part Time,Rolling Start Date,"$99,000",25.0,Mexico City,24 Weeks,10.0
Propulsion Academy,5.0,54,Data Science,http://propulsionacademy.com/apply-now/,"Data Science, Git, R, Algorithms, SQL, Python, Machine Learning",In Person,Full Time,None scheduled,,,Zurich,11 Weeks,
Propulsion Academy,5.0,54,Full-Stack Web Development,https://propulsionacademy.com/full-stack-application/#overview,"HTML, Git, JavaScript, Django, jQuery, Design, CSS, Express.js, React.js, Data Structures, Algorithms, Node.js, Python",In Person,Full Time,None scheduled,,,Zurich,11 Weeks,
UT Austin Boot Camps,4.63,54,Cybersecurity - Part-Time,https://techbootcamps.utexas.edu/cybersecurity/?utm_source=coursereport&utm_medium=ApplyNow,"Linux, Penetration Testing, Mobile Security, Ethical Hacking, Cryptography, Network Security, Python",In Person,Part Time,Rolling Start Date,"$11,500",25.0,Austin,24 Weeks,10.0
UT Austin Boot Camps,4.63,54,Data Analysis and Visualization (Online) - Part-Time,https://techbootcamps.utexas.edu/data/online/?utm_source=coursereport&utm_medium=ApplyNow,"Data Science, MongoDB, HTML, JavaScript, Data Visualization, Excel, Hadoop, CSS, Data Analytics, Python, Machine Learning",Online,Part Time,Rolling Start Date,"$11,500",25.0,Austin,24 Weeks,10.0
UT Austin Boot Camps,4.63,54,Data Analysis and Visualization - Part-Time,https://techbootcamps.utexas.edu/data/?utm_source=coursereport&utm_medium=ApplyNow,"MySQL, Data Science, MongoDB, JavaScript, Data Visualization, Excel, Hadoop, CSS, Data Analytics, SQL, Python, Machine Learning",In Person,Part Time,Rolling Start Date,"$11,500",25.0,Austin,24 Weeks,10.0
Penn Boot Camps,4.78,52,Cybersecurity - Part-Time,https://bootcamp.sas.upenn.edu/cybersecurity/?utm_source=coursereport&utm_medium=ApplyNow,"Linux, Penetration Testing, Mobile Security, Ethical Hacking, Cryptography, Network Security, Python",In Person,Part Time,Rolling Start Date,"$11,995",25.0,Philadelphia,24 Weeks,10.0
Penn Boot Camps,4.78,52,Data Analysis and Visualization (Online) - Part-Time,https://bootcamp.sas.upenn.edu/data/online/?utm_source=coursereport&utm_medium=ApplyNow,"Data Science, MongoDB, HTML, JavaScript, Data Visualization, Excel, Hadoop, CSS, Data Analytics, Python, Machine Learning",Online,Part Time,Rolling Start Date,"$11,995",25.0,Philadelphia,24 Weeks,10.0
Penn Boot Camps,4.78,52,Data Analysis and Visualization - Part-Time,https://bootcamp.sas.upenn.edu/data/?utm_source=coursereport&utm_medium=ApplyNow,"Data Science, MongoDB, HTML, JavaScript, Data Visualization, Excel, Hadoop, CSS, Data Analytics, Python, Machine Learning",In Person,Part Time,Rolling Start Date,"$11,995",25.0,Philadelphia,24 Weeks,10.0
Penn Boot Camps,4.78,52,Financial Technology - Part-Time,https://bootcamp.sas.upenn.edu/fintech/?utm_source=coursereport&utm_medium=ApplyNow,"Excel, Algorithms, Crypocurrency, SQL, Python, Machine Learning, Blockchain",In Person,Part Time,Rolling Start Date,"$11,995",25.0,Philadelphia,24 Weeks,10.0
Penn Boot Camps,4.78,52,Financial Technology - Part-Time,https://bootcamp.sas.upenn.edu/fintech/?utm_source=coursereport&utm_medium=ApplyNow,"Excel, Algorithms, Crypocurrency, SQL, Python, Machine Learning, Blockchain",In Person,Part Time,None scheduled,"$11,995",25.0,Philadelphia,24 Weeks,10.0
UCF Boot Camps,4.61,52,Data Analytics and Visualization (Online) - Part-Time,https://bootcamp.ce.ucf.edu/data/online/?utm_source=coursereport&utm_medium=ApplyNow,"Data Science, MongoDB, HTML, JavaScript, Data Visualization, Excel, Hadoop, CSS, Data Analytics, Python, Machine Learning",Online,Part Time,Rolling Start Date,"$10,500",25.0,Orlando,24 Weeks,10.0
UCF Boot Camps,4.61,52,Data Science and Visualization - Part-Time (Lake Mary/Sanford),https://bootcamp.ce.ucf.edu/data/?utm_source=coursereport&utm_medium=ApplyNow,"MySQL, Data Science, MongoDB, HTML, JavaScript, Data Visualization, Excel, Hadoop, CSS, Data Analytics, SQL, Python, Machine Learning",In Person,Part Time,Rolling Start Date,"$10,500",25.0,Orlando,24 Weeks,10.0
Data Science Dream Job,4.94,51,Full Course,https://course.datasciencedreamjob.com/info?utm_source=CourseReport&utm_medium=SchoolPage,"Data Science, Data Visualization, Data Analytics, Data Structures, Algorithms, Machine Learning",Online,Part Time,Rolling Start Date,"$2,997",,Online,,10.0
UNC-Chapel Hill Boot Camps,4.82,50,Data Science and Visualization - Part-Time,https://bootcamp.unc.edu/data/?utm_source=coursereport&utm_medium=ApplyNow,"MySQL, Data Science, MongoDB, HTML, JavaScript, Data Visualization, Excel, Hadoop, CSS, Data Analytics, SQL, Python, Machine Learning",In Person,Part Time,Rolling Start Date,"$10,995",25.0,Raleigh,24 Weeks,10.0
Bitmaker General Assembly,4.41,50,Data Analytics,https://bitmaker.co/courses/data-analytics,"Excel, Data Structures, SQL",In Person,Full Time,None scheduled,"$2,750",,Toronto,,
University of Richmond Boot Camps,4.79,47,Data Science and Visualization - Part-Time,https://bootcamps.richmond.edu/data/?utm_source=coursereport&utm_medium=ApplyNow,"MySQL, Data Science, MongoDB, HTML, JavaScript, Data Visualization, Excel, Hadoop, CSS, Data Analytics, SQL, Python, Machine Learning",In Person,Part Time,Rolling Start Date,"$10,995",25.0,Richmond,24 Weeks,10.0
Science to Data Science,4.95,46,Science to Data Science London,http://www.s2ds.org/london.html,Data Science,In Person,Full Time,None scheduled,$800,100.0,London,4 Weeks,
Science to Data Science,4.95,46,Science to Data Science Virtual,http://www.s2ds.org/,Data Science,In Person,,None scheduled,,,Online,,
Neoland,4.84,45,Data Science Bootcamp,https://www.neoland.es/data-science-bootcamp,"Data Science, R, Data Visualization, Data Analytics, Data Structures, Algorithms, Python",In Person,Full Time,None scheduled,"€6,495",,"Barcelona, Madrid",12 Weeks,36.0
Berkeley Boot Camps,4.3,45,Cybersecurity - Part-Time (Belmont),https://bootcamp.berkeley.edu/cybersecurity/?utm_source=coursereport&utm_medium=ApplyNow,"Linux, Penetration Testing, Mobile Security, Ethical Hacking, Cryptography, Network Security, Python",In Person,Part Time,Rolling Start Date,"$13,495",25.0,San Francisco,24 Weeks,10.0
